شناسه,شعر,معنی
223,"هرگزم نقش تو از لوح دل و جان نرود_x000D_
هرگز از یاد من آن سرو خرامان نرود_x000D_
از دماغ من سرگشته خیال دهنت_x000D_
به جفای فلک و غصه دوران نرود_x000D_
در ازل بست دلم با سر زلفت پیوند_x000D_
تا ابد سر نکشد و از سر پیمان نرود_x000D_
هر چه جز بار غمت بر دل مسکین من است_x000D_
برود از دل من و از دل من آن نرود_x000D_
آن چنان مهر توام در دل و جان جای گرفت_x000D_
که اگر سر برود از دل و از جان نرود_x000D_
گر رود از پی خوبان دل من معذور است_x000D_
درد دارد چه کند کز پی درمان نرود_x000D_
هر که خواهد که چو حافظ نشود سرگردان_x000D_
دل به خوبان ندهد و از پی ایشان نرود_x000D_
",یاد یار لحظه ای از تو جدا نمی شود به خاطر جفایی که دیده ای مدام غصه می خوری پیمان را با تو شکسته اند و بار غم روی دلت سنگینی می کند. برای اینکه از این بار غم رهایی پیدا کنی و از سرگردانی نجات یابی فکر نکن. با خدایت به راز و نیاز بپرداز تا دلت دوباره شاد شود. 
224,"خوشا دلی که مدام از پی نظر نرود_x000D_
به هر درش که بخوانند بی خبر نرود_x000D_
طمع در آن لب شیرین نکردنم اولی_x000D_
ولی چگونه مگس از پی شکر نرود_x000D_
سواد دیده غمدیده ام به اشک مشوی_x000D_
که نقش خال توام هرگز از نظر نرود_x000D_
ز من چو باد صبا بوی خود دریغ مدار_x000D_
چرا که بی سر زلف توام به سر نرود_x000D_
دلا مباش چنین هرزه گرد و هرجایی_x000D_
که هیچ کار ز پیشت بدین هنر نرود_x000D_
مکن به چشم حقارت نگاه در من مست_x000D_
که آبروی شریعت بدین قدر نرود_x000D_
من گدا هوس سروقامتی دارم_x000D_
که دست در کمرش جز به سیم و زر نرود_x000D_
تو کز مکارم اخلاق عالمی دگری_x000D_
وفای عهد من از خاطرت به درنرود_x000D_
سیاه نامه تر از خود کسی نمی بینم_x000D_
چگونه چون قلمم دود دل به سر نرود_x000D_
به تاج هدهدم از ره مبر که باز سفید_x000D_
چو باشه در پی هر صید مختصر نرود_x000D_
بیار باده و اول به دست حافظ ده_x000D_
به شرط آن که ز مجلس سخن به درنرود_x000D_
",همگان به تو غبطه می خورند و این به خاطر این است که در هیچ کاری طمع نمی کنی و برای مال دنیا حریص نیستی. دل بزرگی داری و برای همین خدا تو را از مال دنیا بی نیاز می سازد. عهدی را که بسته ای فراموش نکن. تاج دانایی بر سرت می نهند فقط مواظب شیطان باش تا صید او نشوی. 
225,"ساقی حدیث سرو و گل و لاله می رود_x000D_
وین بحث با ثلاثه غساله می رود_x000D_
می ده که نوعروس چمن حد حسن یافت_x000D_
کار این زمان ز صنعت دلاله می رود_x000D_
شکرشکن شوند همه طوطیان هند_x000D_
زین قند پارسی که به بنگاله می رود_x000D_
طی مکان ببین و زمان در سلوک شعر_x000D_
کاین طفل یک شبه ره یک ساله می رود_x000D_
آن چشم جادوانه عابدفریب بین_x000D_
کش کاروان سحر ز دنباله می رود_x000D_
از ره مرو به عشوه دنیا که این عجوز_x000D_
مکاره می نشیند و محتاله می رود_x000D_
باد بهار می وزد از گلستان شاه_x000D_
و از ژاله باده در قدح لاله می رود_x000D_
حافظ ز شوق مجلس سلطان غیاث دین_x000D_
غافل مشو که کار تو از ناله می رود_x000D_
",خوشحال باش که به مراد دل می رسی و کار و صنعت تو بالا می گیرد و زبانزد همه ی مردم می شوی. تو ره صد ساله را می خواهی یک شبه طی بکنی. مواظب آدم های شیطان صفت باش که می خواهند خرابت کنند. نعمت بسیاری به سویت روانه است. عمری دراز می کنی که سرشار از شادی و خوشی است. 
226,"ترسم که اشک در غم ما پرده در شود_x000D_
وین راز سر به مهر به عالم سمر شود_x000D_
گویند سنگ لعل شود در مقام صبر_x000D_
آری شود ولیک به خون جگر شود_x000D_
خواهم شدن به میکده گریان و دادخواه_x000D_
کز دست غم خلاص من آن جا مگر شود_x000D_
از هر کرانه تیر دعا کرده ام روان_x000D_
باشد کز آن میانه یکی کارگر شود_x000D_
ای جان حدیث ما بر دلدار بازگو_x000D_
لیکن چنان مگو که صبا را خبر شود_x000D_
از کیمیای مهر تو زر گشت روی من_x000D_
آری به یمن لطف شما خاک زر شود_x000D_
در تنگنای حیرتم از نخوت رقیب_x000D_
یا رب مباد آن که گدا معتبر شود_x000D_
بس نکته غیر حسن بباید که تا کسی_x000D_
مقبول طبع مردم صاحب نظر شود_x000D_
این سرکشی که کنگره کاخ وصل راست_x000D_
سرها بر آستانه او خاک در شود_x000D_
حافظ چو نافه سر زلفش به دست توست_x000D_
دم درکش ار نه باد صبا را خبر شود_x000D_
",صبر داشته باش هر چند که دلت خون می شود راز خود را به کسی نگو خداوند داد تو را از ستمگران می گیرد. کاری از دستت برنمی آید، فقط دعا کن شاید بالاخره مورد قبول خداوند واقع شود. نکند اگر به حاجت رسیدی و معتبر شدی خدا را فراموش کنی بلکه باید بیشتر رو به خدا آوری. 
227,"گر چه بر واعظ شهر این سخن آسان نشود_x000D_
تا ریا ورزد و سالوس مسلمان نشود_x000D_
رندی آموز و کرم کن که نه چندان هنر است_x000D_
حیوانی که ننوشد می و انسان نشود_x000D_
گوهر پاک بباید که شود قابل فیض_x000D_
ور نه هر سنگ و گلی لولو و مرجان نشود_x000D_
اسم اعظم بکند کار خود ای دل خوش باش_x000D_
که به تلبیس و حیل دیو مسلمان نشود_x000D_
عشق می ورزم و امید که این فن شریف_x000D_
چون هنرهای دگر موجب حرمان نشود_x000D_
دوش می گفت که فردا بدهم کام دلت_x000D_
سببی ساز خدایا که پشیمان نشود_x000D_
حسن خلقی ز خدا می طلبم خوی تو را_x000D_
تا دگر خاطر ما از تو پریشان نشود_x000D_
ذره را تا نبود همت عالی حافظ_x000D_
طالب چشمه خورشید درخشان نشود_x000D_
",دورنگ نباش و با هر کشی طرح دوستی ریختی رنگ عوض نکن که اینکار هنر نیست. فکر نکن که خیلی زرنگ هستی. برای اینکه اسمت همه جا برده شود دست به هر کاری نزن. عشق ورزیدن و محبت کردن هنر است اگر به حیله های خود ادامه دهی پشیمان می شوی. همت کن و راهت را عوض کن. 
228,"گر من از باغ تو یک میوه بچینم چه شود_x000D_
پیش پایی به چراغ تو ببینم چه شود_x000D_
یا رب اندر کنف سایه آن سرو بلند_x000D_
گر من سوخته یک دم بنشینم چه شود_x000D_
آخر ای خاتم جمشید همایون آثار_x000D_
گر فتد عکس تو بر نقش نگینم چه شود_x000D_
واعظ شهر چو مهر ملک و شحنه گزید_x000D_
من اگر مهر نگاری بگزینم چه شود_x000D_
عقلم از خانه به دررفت و گر می این است_x000D_
دیدم از پیش که در خانه دینم چه شود_x000D_
صرف شد عمر گران مایه به معشوقه و می_x000D_
تا از آنم چه به پیش آید از اینم چه شود_x000D_
خواجه دانست که من عاشقم و هیچ نگفت_x000D_
حافظ ار نیز بداند که چنینم چه شود_x000D_
",با خیالبافی و حسرت کشیدن کاری از پیش نمی بری و به هیچ مقام و منزلتی هم نمی رسی. این طوری به جای عقل، جهالت به سراغت می آید و ایمانت هم کم می شود. عمر عزیز خود را به بطالت صرف کرده ای بدون اینکه به نتیجه ای برسی. به واقعیات بپرداز و رویاها را فراموش کن. 
229,"بخت از دهان دوست نشانم نمی دهد_x000D_
دولت خبر ز راز نهانم نمی دهد_x000D_
از بهر بوسه ای ز لبش جان همی دهم_x000D_
اینم همی ستاند و آنم نمی دهد_x000D_
مردم در این فراق و در آن پرده راه نیست_x000D_
یا هست و پرده دار نشانم نمی دهد_x000D_
زلفش کشید باد صبا چرخ سفله بین_x000D_
کان جا مجال بادوزانم نمی دهد_x000D_
چندان که بر کنار چو پرگار می شدم_x000D_
دوران چو نقطه ره به میانم نمی دهد_x000D_
شکر به صبر دست دهد عاقبت ولی_x000D_
بدعهدی زمانه زمانم نمی دهد_x000D_
گفتم روم به خواب و ببینم جمال دوست_x000D_
حافظ ز آه و ناله امانم نمی دهد_x000D_
",صبر کرده ای، تحمل کرده ای، عبادت کرده ای ولی نشانه ای از رسیدن به مراد نمی بینی. فکر می کنی دیگر برای جبران ضرر نداری و مدام دور خودت می چرخی بدون اینکه پیشرفتی داشته باشی، ولی عاقبت اجر صبر خود را می بینی و بد عهدی زمانه را فراموش می کنی. 
230,"اگر به باده مشکین دلم کشد شاید_x000D_
که بوی خیر ز زهد ریا نمی آید_x000D_
جهانیان همه گر منع من کنند از عشق_x000D_
من آن کنم که خداوندگار فرماید_x000D_
طمع ز فیض کرامت مبر که خلق کریم_x000D_
گنه ببخشد و بر عاشقان ببخشاید_x000D_
مقیم حلقه ذکر است دل بدان امید_x000D_
که حلقه ای ز سر زلف یار بگشاید_x000D_
تو را که حسن خداداده هست و حجله بخت_x000D_
چه حاجت است که مشاطه ات بیاراید_x000D_
چمن خوش است و هوا دلکش است و می بی غش_x000D_
کنون بجز دل خوش هیچ در نمی باید_x000D_
جمیله ایست عروس جهان ولی هش دار_x000D_
که این مخدره در عقد کس نمی آید_x000D_
به لابه گفتمش ای ماه رخ چه باشد اگر_x000D_
به یک شکر ز تو دلخسته ای بیاساید_x000D_
به خنده گفت که حافظ خدای را مپسند_x000D_
که بوسه تو رخ ماه را بیالاید_x000D_
",اگر از دستور خدا عتاب کنی و به بندگان خدا ریا کنی همه کس و همه چیز از تو دور می شوند. طمع به مال مردم نکن که اگر مردم تو را ببخشند خدا تو را نمی بخشد پس با خدا باش. حلقه ی در خانه ی خدا را بگیر تا خدا تو را به حلقه ی یار برساند و از بلاها رهایی یابی و دل خسته ات آرام گیرد. 
231,"گفتم غم تو دارم گفتا غمت سر آید_x000D_
گفتم که ماه من شو گفتا اگر برآید_x000D_
گفتم ز مهرورزان رسم وفا بیاموز_x000D_
گفتا ز خوبرویان این کار کمتر آید_x000D_
گفتم که بر خیالت راه نظر ببندم_x000D_
گفتا که شب رو است او از راه دیگر آید_x000D_
گفتم که بوی زلفت گمراه عالمم کرد_x000D_
گفتا اگر بدانی هم اوت رهبر آید_x000D_
گفتم خوشا هوایی کز باد صبح خیزد_x000D_
گفتا خنک نسیمی کز کوی دلبر آید_x000D_
گفتم که نوش لعلت ما را به آرزو کشت_x000D_
گفتا تو بندگی کن کو بنده پرور آید_x000D_
گفتم دل رحیمت کی عزم صلح دارد_x000D_
گفتا مگوی با کس تا وقت آن درآید_x000D_
گفتم زمان عشرت دیدی که چون سر آمد_x000D_
گفتا خموش حافظ کاین غصه هم سر آید_x000D_
",دوران غم دلت کوتاه است اما از همین غم تجربه ای به دست آورده ای که اساس خوشبختی ات می باشد. برای رهایی از غم بسیار بی تابی می کنی. تو بندگی خدا را بکن خداوند هم حاجت تو را می رساند و پروردگار بر همه چیز و همه ی دل ها آگاه و واقف است. 
232,"بر سر آنم که گر ز دست برآید_x000D_
دست به کاری زنم که غصه سر آید_x000D_
خلوت دل نیست جای صحبت اضداد_x000D_
دیو چو بیرون رود فرشته درآید_x000D_
صحبت حکام ظلمت شب یلداست_x000D_
نور ز خورشید جوی بو که برآید_x000D_
بر در ارباب بی مروت دنیا_x000D_
چند نشینی که خواجه کی به درآید_x000D_
ترک گدایی مکن که گنج بیابی_x000D_
از نظر ره روی که در گذر آید_x000D_
صالح و طالح متاع خویش نمودند_x000D_
تا که قبول افتد و که در نظر آید_x000D_
بلبل عاشق تو عمر خواه که آخر_x000D_
باغ شود سبز و شاخ گل به بر آید_x000D_
غفلت حافظ در این سراچه عجب نیست_x000D_
هر که به میخانه رفت بی خبر آید_x000D_
",تصمیم خود را عملی کن و هر کاری از دستت بر می آید انجام بده. غصه های تو به پایان رسیده است. با تلاش و اراده ی خویش شیطان را در وجودت کشته ای، حال وقت برپا خاستن است. از خدا جدا نشو تا همیشه نتیجه ی کار بر وفق مرادت باشد. 
233,"دست از طلب ندارم تا کام من برآید_x000D_
یا تن رسد به جانان یا جان ز تن برآید_x000D_
بگشای تربتم را بعد از وفات و بنگر_x000D_
کز آتش درونم دود از کفن برآید_x000D_
بنمای رخ که خلقی واله شوند و حیران_x000D_
بگشای لب که فریاد از مرد و زن برآید_x000D_
جان بر لب است و حسرت در دل که از لبانش_x000D_
نگرفته هیچ کامی جان از بدن برآید_x000D_
از حسرت دهانش آمد به تنگ جانم_x000D_
خود کام تنگدستان کی زان دهن برآید_x000D_
گویند ذکر خیرش در خیل عشقبازان_x000D_
هر جا که نام حافظ در انجمن برآید_x000D_
",بسیار انسان سخت کوش و پشتکاری هستید و تا نتیجه ی کار حاصل نشود دست از عمل برنمی دارید. نتایج کارتان همیشه ماندنی است و بقیه نیز از آن استفاده می کنند. شما تا آخرین لحظات زندگی به تمام آرزوهایتان خواهید رسید. به فقرا کمک کنید. نام شما و ذکر خیرتان همه جا بر سر زبانهاست. 
234,"چو آفتاب می از مشرق پیاله برآید_x000D_
ز باغ عارض ساقی هزار لاله برآید_x000D_
نسیم در سر گل بشکند کلاله سنبل_x000D_
چو از میان چمن بوی آن کلاله برآید_x000D_
حکایت شب هجران نه آن حکایت حالیست_x000D_
که شمه ای ز بیانش به صد رساله برآید_x000D_
ز گرد خوان نگون فلک طمع نتوان داشت_x000D_
که بی ملالت صد غصه یک نواله برآید_x000D_
به سعی خود نتوان برد پی به گوهر مقصود_x000D_
خیال باشد کاین کار بی حواله برآید_x000D_
گرت چو نوح نبی صبر هست در غم طوفان_x000D_
بلا بگردد و کام هزارساله برآید_x000D_
نسیم زلف تو چون بگذرد به تربت حافظ_x000D_
ز خاک کالبدش صد هزار لاله برآید_x000D_
",توقع خیلی زیادی از روزگار داری و دلت می خواهد بدون دردسر به همه چیز برسی. این خیالی بیش نیست بدون سعی و کوشش کار به جایی نخواهی برد. پس مثل حضرت نوح خودت آینده ات را بساز تا بلا و فقر رهایی پیدا کنی. 
235,"زهی خجسته زمانی که یار بازآید_x000D_
به کام غمزدگان غمگسار بازآید_x000D_
به پیش خیل خیالش کشیدم ابلق چشم_x000D_
بدان امید که آن شهسوار بازآید_x000D_
اگر نه در خم چوگان او رود سر من_x000D_
ز سر نگویم و سر خود چه کار بازآید_x000D_
مقیم بر سر راهش نشسته ام چون گرد_x000D_
بدان هوس که بدین رهگذار بازآید_x000D_
دلی که با سر زلفین او قراری داد_x000D_
گمان مبر که بدان دل قرار بازآید_x000D_
چه جورها که کشیدند بلبلان از دی_x000D_
به بوی آن که دگر نوبهار بازآید_x000D_
ز نقش بند قضا هست امید آن حافظ_x000D_
که همچو سرو به دستم نگار بازآید_x000D_
",خوشحال باش. روزی فرخنده که منتظرش بودی رسیده است و این به خاطر صبر و امیدواری خود توست. دلت آرام می گیرد. ستم هایی که به تو کرده اند فراموش کن که تو به مرادت رسیده ای. این کار قضا و جزئی از سرنوشت تو بود. 
236,"اگر آن طایر قدسی ز درم بازآید_x000D_
عمر بگذشته به پیرانه سرم بازآید_x000D_
دارم امید بر این اشک چو باران که دگر_x000D_
برق دولت که برفت از نظرم بازآید_x000D_
آن که تاج سر من خاک کف پایش بود_x000D_
از خدا می طلبم تا به سرم بازآید_x000D_
خواهم اندر عقبش رفت به یاران عزیز_x000D_
شخصم ار بازنیاید خبرم بازآید_x000D_
گر نثار قدم یار گرامی نکنم_x000D_
گوهر جان به چه کار دگرم بازآید_x000D_
کوس نودولتی از بام سعادت بزنم_x000D_
گر ببینم که مه نوسفرم بازآید_x000D_
مانعش غلغل چنگ است و شکرخواب صبوح_x000D_
ور نه گر بشنود آه سحرم بازآید_x000D_
آرزومند رخ شاه چو ماهم حافظ_x000D_
همتی تا به سلامت ز درم بازآید_x000D_
",فکر می کنی روزگار روی بد خود را به تو نشان می دهد و کسی دیگر به تو اعتماد ندارد و احترام نمی گذارد. می خواهی باز هم دولت از دست رفته را بازگردانی. حاضری برای رسیدن به دولت جان خود را هم فدا کنی. راه سخت است اما با همت تو همه ی کارها آسان می شود. 
237,"نفس برآمد و کام از تو بر نمی آید_x000D_
فغان که بخت من از خواب در نمی آید_x000D_
صبا به چشم من انداخت خاکی از کویش_x000D_
که آب زندگیم در نظر نمی آید_x000D_
قد بلند تو را تا به بر نمی گیرم_x000D_
درخت کام و مرادم به بر نمی آید_x000D_
مگر به روی دلارای یار ما ور نی_x000D_
به هیچ وجه دگر کار بر نمی آید_x000D_
مقیم زلف تو شد دل که خوش سوادی دید_x000D_
وز آن غریب بلاکش خبر نمی آید_x000D_
ز شست صدق گشادم هزار تیر دعا_x000D_
ولی چه سود یکی کارگر نمی آید_x000D_
بسم حکایت دل هست با نسیم سحر_x000D_
ولی به بخت من امشب سحر نمی آید_x000D_
در این خیال به سر شد زمان عمر و هنوز_x000D_
بلای زلف سیاهت به سر نمی آید_x000D_
ز بس که شد دل حافظ رمیده از همه کس_x000D_
کنون ز حلقه زلفت به در نمی آید_x000D_
",بسیار بی قرار و بی تاب شده ای و همه چیز را از دست رفته می بینی . رسیدن به کام و مراد را محال می دانی. دعا هم می کنی ولی نتیجه نگرفته ای مطمئن باش آنقدر عمر می کنی که به تمام آرزوهایت برسی. دل از خدا جدا نکن و امیدوار باش که در آینده ای نزدیک به مراد خود خواهی رسید. 
238,"جهان بر ابروی عید از هلال وسمه کشید_x000D_
هلال عید در ابروی یار باید دید_x000D_
شکسته گشت چو پشت هلال قامت من_x000D_
کمان ابروی یارم چو وسمه بازکشید_x000D_
مگر نسیم خطت صبح در چمن بگذشت_x000D_
که گل به بوی تو بر تن چو صبح جامه درید_x000D_
نبود چنگ و رباب و نبید و عود که بود_x000D_
گل وجود من آغشته گلاب و نبید_x000D_
بیا که با تو بگویم غم ملالت دل_x000D_
چرا که بی تو ندارم مجال گفت و شنید_x000D_
بهای وصل تو گر جان بود خریدارم_x000D_
که جنس خوب مبصر به هر چه دید خرید_x000D_
چو ماه روی تو در شام زلف می دیدم_x000D_
شبم به روی تو روشن چو روز می گردید_x000D_
به لب رسید مرا جان و برنیامد کام_x000D_
به سر رسید امید و طلب به سر نرسید_x000D_
ز شوق روی تو حافظ نوشت حرفی چند_x000D_
بخوان ز نظمش و در گوش کن چو مروارید_x000D_
",یارتان حاضر به هر گونه فداکاری برای شما می باشد. هر ملامتی را به خاطر شما تحمل می کند و برای رسیدن به تو بهای سنگینی پرداخت کرده است. بدون شما زندگی برایش چون شب است. تو هم طلب او را برآورده ساز تا خوبی های او را جبران کرده باشی. 
239,"رسید مژده که آمد بهار و سبزه دمید_x000D_
وظیفه گر برسد مصرفش گل است و نبید_x000D_
صفیر مرغ برآمد بط شراب کجاست_x000D_
فغان فتاد به بلبل نقاب گل که کشید_x000D_
ز میوه های بهشتی چه ذوق دریابد_x000D_
هر آن که سیب زنخدان شاهدی نگزید_x000D_
مکن ز غصه شکایت که در طریق طلب_x000D_
به راحتی نرسید آن که زحمتی نکشید_x000D_
ز روی ساقی مه وش گلی بچین امروز_x000D_
که گرد عارض بستان خط بنفشه دمید_x000D_
چنان کرشمه ساقی دلم ز دست ببرد_x000D_
که با کسی دگرم نیست برگ گفت و شنید_x000D_
من این مرقع رنگین چو گل بخواهم سوخت_x000D_
که پیر باده فروشش به جرعه ای نخرید_x000D_
بهار می گذرد دادگسترا دریاب_x000D_
که رفت موسم و حافظ هنوز می نچشید_x000D_
",شکایت و غصه را کنار بگذار. بدون زحمت و تلاش به جایی نمی رسی. به وظیفه ات عمل کن در این صورت است که مژده ی رسیدن به مراد را به تو می دهند. امروز سعی و تلاش کن فردا به بوستان آرزویت می رسی. پس وقت را تلف نکن که عمر مثل باد می گذرد. 
240,"ابر آذاری برآمد باد نوروزی وزید_x000D_
وجه می می خواهم و مطرب که می گوید رسید_x000D_
شاهدان در جلوه و من شرمسار کیسه ام_x000D_
بار عشق و مفلسی صعب است می باید کشید_x000D_
قحط جود است آبروی خود نمی باید فروخت_x000D_
باده و گل از بهای خرقه می باید خرید_x000D_
گوییا خواهد گشود از دولتم کاری که دوش_x000D_
من همی کردم دعا و صبح صادق می دمید_x000D_
با لبی و صد هزاران خنده آمد گل به باغ_x000D_
از کریمی گوییا در گوشه ای بویی شنید_x000D_
دامنی گر چاک شد در عالم رندی چه باک_x000D_
جامه ای در نیک نامی نیز می باید درید_x000D_
این لطایف کز لب لعل تو من گفتم که گفت_x000D_
وین تطاول کز سر زلف تو من دیدم که دید_x000D_
عدل سلطان گر نپرسد حال مظلومان عشق_x000D_
گوشه گیران را ز آسایش طمع باید برید_x000D_
تیر عاشق کش ندانم بر دل حافظ که زد_x000D_
این قدر دانم که از شعر ترش خون می چکید_x000D_
",از فقر و نداری خود شرمنده نباش، خوبی تو سرمایه ی دولت تو است. ابرهای نعمت و رحمت به سویت می آیند و نجات پیدا می کنی و کارت بالا می گیرد. از چیزی نترس زیرا کسی که راه درست می رود ترس به دل راه نمی دهد. خداوند عادل و روزی رسان است. تو را هم فراموش نکرده و به تو هم کرم می کند. 
241,"معاشران ز حریف شبانه یاد آرید_x000D_
حقوق بندگی مخلصانه یاد آرید_x000D_
به وقت سرخوشی از آه و ناله عشاق_x000D_
به صوت و نغمه چنگ و چغانه یاد آرید_x000D_
چو لطف باده کند جلوه در رخ ساقی_x000D_
ز عاشقان به سرود و ترانه یاد آرید_x000D_
چو در میان مراد آورید دست امید_x000D_
ز عهد صحبت ما در میانه یاد آرید_x000D_
سمند دولت اگر چند سرکشیده رود_x000D_
ز همرهان به سر تازیانه یاد آرید_x000D_
نمی خورید زمانی غم وفاداران_x000D_
ز بی وفایی دور زمانه یاد آرید_x000D_
به وجه مرحمت ای ساکنان صدر جلال_x000D_
ز روی حافظ و این آستانه یاد آرید_x000D_
",شما فراموش نشده اید. باز هم کسانی هستند که قدرتان را بدانند و جواب زحمتتان را بدهند. شما کسی هستید که در عین خوشی و رسیدن به مراد دیگران را هم در شادی و خوشی خود سهیم کرده اید، اما دیگران در حق تان کم لطفی کرده اند ولی باز هم مرحمت خدا نصیب شما شده و خواهد سد. 
242,"بیا که رایت منصور پادشاه رسید_x000D_
نوید فتح و بشارت به مهر و ماه رسید_x000D_
جمال بخت ز روی ظفر نقاب انداخت_x000D_
کمال عدل به فریاد دادخواه رسید_x000D_
سپهر دور خوش اکنون کند که ماه آمد_x000D_
جهان به کام دل اکنون رسد که شاه رسید_x000D_
ز قاطعان طریق این زمان شوند ایمن_x000D_
قوافل دل و دانش که مرد راه رسید_x000D_
عزیز مصر به رغم برادران غیور_x000D_
ز قعر چاه برآمد به اوج ماه رسید_x000D_
کجاست صوفی دجال فعل ملحدشکل_x000D_
بگو بسوز که مهدی دین پناه رسید_x000D_
صبا بگو که چه ها بر سرم در این غم عشق_x000D_
ز آتش دل سوزان و دود آه رسید_x000D_
ز شوق روی تو شاها بدین اسیر فراق_x000D_
همان رسید کز آتش به برگ کاه رسید_x000D_
مرو به خواب که حافظ به بارگاه قبول_x000D_
ز ورد نیم شب و درس صبحگاه رسید_x000D_
",شما پیروز می شوید و خبر بسیار خوبی نزدیک است که شما را به حد کمال می رساند و حق خودتان را می گیرید، به شرط اینکه در کارتان قاطع باشید و غفلت نکنید. به حضرت مهدی(ع) توکل کنید. مواظب اطرافیان باشید. خوابتان نبرد زیرا کسانی در کمینتان نشسته اند تا شما را به انحراف بکشانند. 
243,"بوی خوش تو هر که ز باد صبا شنید_x000D_
از یار آشنا سخن آشنا شنید_x000D_
ای شاه حسن چشم به حال گدا فکن_x000D_
کاین گوش بس حکایت شاه و گدا شنید_x000D_
خوش می کنم به باده مشکین مشام جان_x000D_
کز دلق پوش صومعه بوی ریا شنید_x000D_
سر خدا که عارف سالک به کس نگفت_x000D_
در حیرتم که باده فروش از کجا شنید_x000D_
یا رب کجاست محرم رازی که یک زمان_x000D_
دل شرح آن دهد که چه گفت و چه ها شنید_x000D_
اینش سزا نبود دل حق گزار من_x000D_
کز غمگسار خود سخن ناسزا شنید_x000D_
محروم اگر شدم ز سر کوی او چه شد_x000D_
از گلشن زمانه که بوی وفا شنید_x000D_
ساقی بیا که عشق ندا می کند بلند_x000D_
کان کس که گفت قصه ما هم ز ما شنید_x000D_
ما باده زیر خرقه نه امروز می خوریم_x000D_
صد بار پیر میکده این ماجرا شنید_x000D_
ما می به بانگ چنگ نه امروز می کشیم_x000D_
بس دور شد که گنبد چرخ این صدا شنید_x000D_
پند حکیم محض صواب است و عین خیر_x000D_
فرخنده آن کسی که به سمع رضا شنید_x000D_
حافظ وظیفه تو دعا گفتن است و بس_x000D_
دربند آن مباش که نشنید یا شنید_x000D_
",تو که سرچشمه ی همه ی خوبی ها و حسن ها هستی نگاهی هم به زیردستان خود بکن. دنبال یک محرم راز بگرد تا بتوانی درد دل کنی. از رسیدن به کسی محروم شده ای اما مرور زمان و وفاداریت باعث رسیدن به مرادت می شود. پند پیران را گوش کن. کار ثواب انجام بده تا همیشه دعای خیر بدرقه ی راهت باشد. 
244,"معاشران گره از زلف یار باز کنید_x000D_
شبی خوش است بدین قصه اش دراز کنید_x000D_
حضور خلوت انس است و دوستان جمعند_x000D_
و ان یکاد بخوانید و در فراز کنید_x000D_
رباب و چنگ به بانگ بلند می گویند_x000D_
که گوش هوش به پیغام اهل راز کنید_x000D_
به جان دوست که غم پرده بر شما ندرد_x000D_
گر اعتماد بر الطاف کارساز کنید_x000D_
میان عاشق و معشوق فرق بسیار است_x000D_
چو یار ناز نماید شما نیاز کنید_x000D_
نخست موعظه پیر صحبت این حرف است_x000D_
که از مصاحب ناجنس احتراز کنید_x000D_
هر آن کسی که در این حلقه نیست زنده به عشق_x000D_
بر او نمرده به فتوای من نماز کنید_x000D_
وگر طلب کند انعامی از شما حافظ_x000D_
حوالتش به لب یار دلنواز کنید_x000D_
",روزهای خوشی را سپری می کنید بابت این روزگار خوش بیشتر خدا را عبادت کنید. هر چه بیشتر با خدا باشید زودتر از غم رهایی پیدا می کنید. خداوند شما را بسیار دوست دارد و می خواهد که او را زیاد عبادت کنید. از صحبت با نامحرمان پرهیز کنید. امیدوار باشید که به حاجات خودتان می رسید. 
245,"الا ای طوطی گویای اسرار_x000D_
مبادا خالیت شکر ز منقار_x000D_
سرت سبز و دلت خوش باد جاوید_x000D_
که خوش نقشی نمودی از خط یار_x000D_
سخن سربسته گفتی با حریفان_x000D_
خدا را زین معما پرده بردار_x000D_
به روی ما زن از ساغر گلابی_x000D_
که خواب آلوده ایم ای بخت بیدار_x000D_
چه ره بود این که زد در پرده مطرب_x000D_
که می رقصند با هم مست و هشیار_x000D_
از آن افیون که ساقی در می افکند_x000D_
حریفان را نه سر ماند نه دستار_x000D_
سکندر را نمی بخشند آبی_x000D_
به زور و زر میسر نیست این کار_x000D_
بیا و حال اهل درد بشنو_x000D_
به لفظ اندک و معنی بسیار_x000D_
بت چینی عدوی دین و دل هاست_x000D_
خداوندا دل و دینم نگه دار_x000D_
به مستوران مگو اسرار مستی_x000D_
حدیث جان مگو با نقش دیوار_x000D_
به یمن دولت منصور شاهی_x000D_
علم شد حافظ اندر نظم اشعار_x000D_
خداوندی به جای بندگان کرد_x000D_
خداوندا ز آفاتش نگه دار_x000D_
",شانس فقط یک بار در خانه ی شما را می زند پس چرا آن را پس می زنید و ندانسته به بازی می گیرید. فکر می کنید با زور می توانید همه چیز را به دست آورید ولی اینطور نیست. دل و دبینتان را به خدا بسپارید تا به یمن خوبی تان دولت و مال و سلامت به شما عطا فرماید. 
